,HC-DN_pattern,PLS_C1,PLS_C2,PLS_C3,HC-DN_pattern_PLS_C1,HC-DN_pattern_PLS_C2,HC-DN_pattern_PLS_C3
Component: 31,0.0910969299709473,0.07351680015115254,0.003584929260641251,-0.15218529517306306,0.057559418904099074,0.17530365622129412,-0.18103637195422664
Component: 32,0.049893881656696115,0.06387407187468123,-0.036865000534770785,-0.10372640575148746,-0.13966862702755994,-0.014075116692934325,0.029869525297452206
Component: 33,-0.08866348096345048,0.05908103225864807,-0.03170881914745886,-0.10281734717458484,0.01929213016618343,-0.04995017550132459,-0.02092277408027018
Component: 34,0.18116069363315146,0.0421684466542843,-0.01270938484497407,-0.09235778087373751,0.09107964261445717,-0.05143437838244879,-0.012391933488867123
Component: 35,-0.1427956013728222,0.03856874907124546,0.013875739031731761,-0.0690862449318206,-0.1778173473382289,-0.12912837397678473,-0.10998168368818118
Component: 36,-0.21367509292991937,0.04577585011040886,-0.007882165496349304,-0.07443066246955506,-0.01762601879011963,0.13992036217131337,0.1070935327342862
Component: 37,-0.445565930988042,0.05327540896690361,-0.05423888795423663,-0.0741238264276019,0.004499792149799144,0.03569374950066744,-0.02744653607139368
Component: 38,0.07066845141626642,0.03820737035865818,-0.015574240357358712,-0.09618831955159347,-0.09052717657692141,-0.25116903599051155,-0.09102731903595608
Component: 39,0.13187850728881248,0.04811546568137383,-0.09229837894386379,-0.11830310210127658,-0.002660014684578132,0.20068867659317335,-0.06734991157914315
Component: 40,0.03210548930464227,0.050995372143287365,-0.02431519526165095,-0.11313560621972388,-0.03803787347305598,0.03717627425540067,-0.17610263857698236
Component: 41,0.005376298546922603,0.0492746551272589,-0.023062313020436452,-0.07984828502312201,0.05897618127373537,0.02015512450379853,-0.0007596970276966092
Component: 42,0.1429260721393989,0.050825556603713073,-0.03496529479779354,-0.11711571951603923,-0.054058432076014,-0.06068249502377582,0.11348662387972976
Component: 43,-0.3693675978152512,0.035777434717727506,-0.025043939881478478,-0.10818595549017876,-0.15062750307693265,-0.05956685494098636,-0.13086208420788686
Component: 44,0.006712458496925929,0.050034640189951345,-0.017966934016640988,-0.09228712458592765,-0.03117582773072728,-0.029400593782103426,0.02918218457763497
Component: 45,-0.20851517919377677,0.06147840152494174,-0.007595395643487283,-0.10659066083440598,-0.0627529202273547,0.005347269648719795,0.02383198704364283
Component: 46,-0.10496390512642836,0.046500429878229305,-0.019948931711289558,-0.0931564412441952,-0.08382229716759512,-0.045005343212542785,0.010925871788592344
Component: 47,-0.4118750934548833,0.06394822659619114,-0.04705952494290398,-0.054511213219740354,-0.09965111934354826,0.007052296875492051,-0.09329680487414967
Component: 48,0.10037855208435129,0.05447612630699323,-0.019371888133070773,-0.0891432130644365,-0.1211215685558915,-0.06751109094395863,-0.25138883200901785
Component: 49,-0.07358537289822974,0.052371619805851165,-0.06261751927797166,-0.11229789028084154,-0.10956919390304805,-0.1429571998442366,0.051362291494682834
Component: 50,0.09414250672787049,0.04331467714588148,-0.018637030370760418,-0.08747574945681806,0.031170433427957354,-0.04954573491652206,-0.02973213856783338
