,HC-DN_pattern,PLS_C1,PLS_C2,PLS_C3,HC-DN_pattern_PLS_C1,HC-DN_pattern_PLS_C2,HC-DN_pattern_PLS_C3
Component: 18,0.048701193854473634,0.18456940050098564,-0.1040432166668029,-0.13364193054011544,0.05984790161978878,0.07335199661255681,0.07037772499390303
Component: 19,-0.18335157287397413,0.1560300187037481,-0.09918640743243065,-0.1674030500194765,0.0923801317703366,0.009192723419076558,0.005069991459365157
Component: 20,0.08251399177666469,0.16257616934552171,-0.10477415926608799,-0.14614941220341776,0.07738058127445313,-0.04087141225708758,-0.0153388881176275
Component: 21,0.015866535960635367,0.157312054068304,-0.100261458980862,-0.13315829411761818,0.06740809315633305,-0.1684463821236253,-0.02520581694913252
Component: 22,0.04471716348548652,0.17373072873735956,-0.09826306210528557,-0.17339246528960636,-0.09885690188607542,-0.0644665203245591,0.07468417630989728
Component: 23,0.0332954978227591,0.16879996145593268,-0.09313253905812786,-0.15430615992205718,0.19657423782020667,0.08293000832673751,0.015881117335365565
Component: 24,0.13450195103416424,0.1678974898584236,-0.09427853025385721,-0.143467274054681,0.039908420346518404,0.033378775013129296,0.056188061893021744
Component: 25,0.17570008802513037,0.18905648254465698,-0.07812871139592138,-0.14701217926725976,0.21037493714656444,0.01773260244185223,-0.07610838240182134
Component: 26,0.1626470335838223,0.1851640733469372,-0.12390293867726103,-0.21050591535397353,-0.05481402703480475,0.10374413589164781,-0.2128796172723408
Component: 27,-0.5091305169968428,0.16431638828749598,-0.10857588847545581,-0.1630841725179658,-0.11600105277503933,0.02866741879976428,0.026568017861399597
Component: 28,-0.03749684875105323,0.16743043712396216,-0.09290810077594984,-0.17174962694032211,0.10870190756807474,-0.024051958828449176,-0.08170783701219256
Component: 29,-0.04479631614861448,0.17892356526240777,-0.11105865859599974,-0.13765684913729606,0.06084320287072138,-0.056298094862147915,0.004892392168860001
Component: 30,0.2955648000896148,0.15202479073620515,-0.08355743956755707,-0.1629191987538725,-0.03690797836100946,0.007228652941633518,-0.13163698485574293
Component: 31,0.08386160700801895,0.15229480689316258,-0.09096391869222031,-0.15290175081643398,-0.017559735112619306,-0.05301045999372046,-0.12503898010046752
Component: 32,0.007273152366781397,0.18426326607519866,-0.09234831590919979,-0.1105983529483637,0.19174726424149408,-0.022937342243421314,0.10917161190464095
Component: 33,0.014429845476518963,0.18260139503148415,-0.09248620602287472,-0.15106768797810147,0.20751474996889946,0.012514837664454362,0.021041729810826654
Component: 34,0.20340382033709464,0.15998524590613541,-0.09225635647618104,-0.13416992967064945,-0.08107340399430371,0.08405172783142305,0.04898690690233117
Component: 35,0.013283418674128673,0.18738422749856942,-0.10407677512749204,-0.18349180144254518,0.12805832723476038,-0.04863888604670266,-0.09850649128071938
